,company_name,company_rating,other_data
226,VSN International,3.7,"IT Services & Consulting , 51-200 Employees , Public , 24 years old , Indore +2 more"
227,Aditya Birla Fashion and Retail,4.2,"Fashion & Textile , 10k-50k Employees , Fortune India 500 , 36 years old , Indore +233 more"
228,Tata AIG,4.1,"Insurance , 5k-10k Employees , 24 years old , Indore +222 more"
229,Aakash Educational Services,3.6,"EdTech , 5k-10k Employees , 36 years old , Indore +213 more"
230,Abbott,4.2,"Pharma , 10k-50k Employees , Public , 136 years old , Indore +169 more"
231,ESP Softtech Private Limited,4.9,"Software Product , 11-50 Employees , 11 years old , Indore"
232,CloudLIMS Lab Solutions,4.4,"11-50 Employees , Indore +1 more"
233,Mindlance,4.0,"Recruitment , 1k-5k Employees , 25 years old , Indore +10 more"
234,Dee Tee Industries,4.0,"Industrial Machinery , 1k-5k Employees , 49 years old , Indore"
235,Duroflex,4.1,"Furniture & Furnishing , 501-1k Employees , 61 years old , Indore +36 more"
236,Capri Global Capital,3.7,"NBFC , 1k-5k Employees , Public , 27 years old , Indore +218 more"
237,Croma,4.0,"Retail , 5k-10k Employees , 18 years old , Indore +147 more"
238,Medanta the Medicity,4.1,"Healthcare , 5k-10k Employees , 15 years old , Indore +33 more"
239,Muthoot Finance,3.6,"NBFC , 10k-50k Employees , Public , 85 years old , Indore +645 more"
240,Xerox,3.9,"IT Services & Consulting , 1k-5k Employees , Forbes Global 2000 , Indore +33 more"
241,Rakuten,3.7,"IT Services & Consulting , 1k-5k Employees , Forbes Global 2000 , 27 years old , Indore +10 more"
242,Aavantika Gas,3.6,"Oil & Gas , 51-200 Employees , 18 years old , Indore +4 more"
243,AM Webtech,4.1,"IT Services & Consulting , 51-200 Employees , 9 years old , Indore +1 more"
244,Scientech Technologies,3.8,"Electronics Manufacturing , 201-500 Employees , 41 years old , Indore +5 more"
245,Hindustan Coca Cola Beverages,4.3,"Beverage , 5k-10k Employees , 27 years old , Indore +214 more"
246,Medi-Caps University,4.3,"Education & Training , Indore"
247,RBL Bank,3.8,"Banking , 10k-50k Employees , Public , 81 years old , Indore +226 more"
248,Cipla Industries,4.1,"Pharma , 11-50 Employees , 26 years old , Indore +29 more"
249,Index Medical College Hospital & Research Center Indore,4.5,Indore +1 more
250,Brand Concepts,4.1,"Retail , 501-1k Employees , 25 years old , Indore +12 more"
251,Kusum Healthcare,4.0,"Pharma , 501-1k Employees , 27 years old , Indore +6 more"
252,Suminter India Organics,3.8,"FMCG , 201-500 Employees , 20 years old , Indore +17 more"
253,Syncom Formulations India,3.4,"Pharma , 201-500 Employees , Public , 18 years old , Indore +2 more"
254,Pinnacle Industries,4.0,"Auto Components , 501-1k Employees , 28 years old , Indore +10 more"
255,XpressBees,3.8,"Logistics , 5k-10k Employees , Indian Unicorn , 9 years old , Indore +238 more"
256,Berger Paints,3.8,"Chemicals , 1k-5k Employees , Public , 101 years old , Indore +261 more"
257,TriFid Research,1.9,"Financial Services , 201-500 Employees (Global) , 14 years old , Indore"
258,India Infotech,4.5,"IT Services & Consulting , 51-200 Employees , Indore +2 more"
259,Punjab Jewels,4.0,"Retail , 51-200 Employees , 74 years old , Indore"
260,Dhani Loans and Services,3.9,"NBFC , 1k-5k Employees , Indore +179 more"
261,Pratap Technocrats,4.0,"Telecom , 10k-50k Employees , 26 years old , Indore +103 more"
262,Flexituff Ventures International,3.9,"Packaging , 51-200 Employees , Public , 58 years old , Indore +10 more"
263,Blue Star,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 81 years old , Indore +133 more"
264,ValueLabs,3.9,"IT Services & Consulting , 5k-10k Employees , 27 years old , Indore +16 more"
265,Maral Overseas,3.6,"Fashion & Textile , 1k-5k Employees , Public , 33 years old , Indore +11 more"
266,Signet Industries,3.3,"501-1k Employees , 39 years old , Indore +18 more"
