,company_name,company_rating,other_data
8810,mPowerTech,4.0,"IT Services & Consulting , Ahmedabad +1 more"
8811,The Mosaic Company,3.7,Ahmedabad +4 more
8812,Five Brothers,5.0,Ahmedabad
8813,Randox Laboratories India Private Limited,4.2,"Medical Equipment , 51-200 Employees , 42 years old , Ahmedabad +13 more"
8814,Lundbeck,4.3,"Internet , 5k-10k Employees (Global) , 109 years old , Ahmedabad +12 more"
8815,Saint Paul Public Schools,4.0,"Education & Training , Ahmedabad"
8816,NEPC,4.8,"Public , Ahmedabad +3 more"
8817,Kyra Solutions,4.0,"IT Services & Consulting , Ahmedabad"
8818,Regenersis,3.8,"Consumer Electronics & Appliances , 501-1k Employees , 45 years old , Ahmedabad +9 more"
8819,R-Biopharm,3.1,"Financial Services , Ahmedabad +1 more"
8820,Hitech Calibration Services,4.0,Ahmedabad +1 more
8821,Microtech It Systems,5.0,"IT Services & Consulting , 51-200 Employees , Ahmedabad"
8822,Karnavati School of Dentistry,1.7,"Education & Training , 51-200 Employees , Ahmedabad +1 more"
8823,Textile Machinery Mfg,4.9,Ahmedabad +4 more
8824,Dwarka Gems,4.2,"51-200 Employees , Ahmedabad +1 more"
8825,AADI IMPORTS,2.5,"Import & Export , 51-200 Employees , 21 years old , Ahmedabad +1 more"
8826,Malhar Enterprises,4.6,Ahmedabad
8827,Sainath Controls,3.0,Ahmedabad
