,company_name,company_rating,other_data
6050,Raj Shree Refrigeration,5.0,Jaipur
6051,Fitbix,3.0,Jaipur
6052,Om Prakash & Company,3.0,Jaipur +1 more
6053,Shakun Advertising,1.0,Jaipur
6054,PSD & Associates,4.0,Jaipur
6055,PASTEUR CHEMICALS & INSTRUMENTS,4.7,Jaipur +1 more
6056,Pearl City Nursing,5.0,Jaipur
6057,Quick Smart Wash,5.0,Jaipur
6058,Govind Kripa Marketing,5.0,Jaipur
6059,A one sr. sec.school,3.7,"Education & Training , Jaipur"
6060,Hi-Tech Agro Industries,5.0,Jaipur
6061,Life Care Medical Store,4.2,Jaipur +4 more
6062,Jaipur Thar Gramin Bank,5.0,"Financial Services , 5k-10k Employees , Jaipur"
6063,Sambandh Finserve,4.4,"Financial Services , 501-1k Employees , 18 years old , Jaipur +9 more"
6064,Kalpana Perfumery Works,,Jaipur
6065,Vowels Advertising,4.0,Jaipur
6066,Kids Paradise Senior Secondary School,1.0,"Education & Training , Jaipur"
6067,The Traveller Holidays,5.0,Jaipur
6068,Yojana Bhawan,5.0,Jaipur
6069,De Kulture Works,2.0,Jaipur
6070,The Noble School,4.9,"Education & Training , Jaipur +4 more"
6071,B L Dusad & Company,5.0,Jaipur
6072,Saphire Blue Industries,4.0,Jaipur
6073,Continental Petroleums,3.2,"Chemicals / Agri Inputs , 11-50 Employees , Public , Jaipur +1 more"
6074,TTIS,4.0,Jaipur
6075,Himalayan University,3.8,"Education & Training , 1-10 Employees , 12 years old , Jaipur +5 more"
6076,The Rajputana Mahila Urban Co-operative Bank,3.0,"Financial Services , Jaipur"
6077,Wasser Technochem,5.0,"Facility Management Services , Jaipur +1 more"
6078,Turtles Pre Primary School,5.0,"Education & Training , Jaipur"
6079,Welfare Fitness Studio,5.0,Jaipur
6080,Infinity Jewels,3.0,Jaipur
6081,Quality Staffing Solution,5.0,Jaipur
6082,Sethi's Kebab & Curries,5.0,Jaipur
6083,Venkateshwar Fibres,4.0,Jaipur
6084,Urbana Group,5.0,Jaipur
6085,UB International Trading,4.7,Jaipur +2 more
6086,Mandelbulb Technologies,,Jaipur
6087,EG Allied,4.0,Jaipur
6088,Best Desk IT Solutions,1.0,Jaipur
6089,BWG Studio,3.0,Jaipur
6090,Tech World Logics,2.5,Jaipur +1 more
6091,The Jewellery Channel,2.0,Jaipur
6092,Aadi Medi Solutions,5.0,Jaipur
6093,Bidsbazaar,2.0,Jaipur
6094,Pazia Pharmaceuticals,5.0,Jaipur
6095,RRPS Associates,3.0,Jaipur
6096,Agrawal Dental Hospital and Research Centre,5.0,Jaipur
6097,Tilefy Ceramic,4.0,Jaipur
6098,Financial Friend,1.0,Jaipur
6099,Devicecure,5.0,Jaipur
6100,Manasvi Innovation,5.0,Jaipur
6101,Root2Fruit Accounting Solutions,5.0,Jaipur
6102,Nova Nutri Foods,2.0,Jaipur
6103,Arvind R. Agrawal & Co,5.0,Jaipur
6104,Chronikle World,1.0,Jaipur
